social_sustainability,economic_sustainability,overall_sustainability,final_farmers_pct,mean_displacement_rate,land_appreciation_pct,final_gini,production_retention_pct,mean_volatility,regime,protection_index,regime_abm1,policy_scenario,replication
47.0570740235535,34.966072264529515,26.011573144041506,20.0,3.0833333333333335,1875.039294259954,0.600896298822325,19.465255000076933,0.041001486775063066,moderate,0.27,MODERATE,weak_protection,16
49.59624037539973,38.24764469674926,28.921942536074496,20.0,2.7083333333333335,1835.0113384927465,0.4795629812300133,27.65352584705042,0.04068828210354565,moderate,0.27,MODERATE,weak_protection,17
52.15952295048345,33.42951730505423,27.79452012776884,20.0,2.9083333333333337,1741.4658061646342,0.34839885247582725,15.576216048442845,0.040048455716145535,moderate,0.27,MODERATE,weak_protection,18
50.42688965316902,34.813040850664436,27.619965251916724,20.0,2.7333333333333334,1737.316769280989,0.43765551734154906,19.033592458269414,0.040019806632166845,moderate,0.27,MODERATE,weak_protection,19
55.23878335737861,37.78825165820011,31.51351750778936,20.0,2.5500000000000007,1769.857115137829,0.19981083213106987,26.48460064824706,0.040279430054935984,moderate,0.27,MODERATE,weak_protection,20
53.64330993591459,32.2734617164342,27.958385826174393,20.0,3.025,1944.7844428183075,0.2724595032042709,12.757585415538642,0.041478622489063234,moderate,0.27,MODERATE,weak_protection,21
52.35894500271213,34.11017211840458,28.234558560558355,20.0,2.941666666666667,1884.997597549826,0.3379277498643938,17.3287671783543,0.04106673764685742,moderate,0.27,MODERATE,weak_protection,22
50.723801833840454,36.04227379661491,28.38303781522768,20.0,2.5166666666666666,1847.7875301932545,0.42605990830797724,22.148015583738985,0.040846621844034633,moderate,0.27,MODERATE,weak_protection,23
52.479531264401885,33.63680466660555,28.058167965503714,20.0,3.25,1964.8165377483065,0.32727343677990617,16.17329796685816,0.041625726006885876,moderate,0.27,MODERATE,weak_protection,24
52.809769808269834,33.784422795735644,28.297096302002743,20.0,2.7500000000000004,1800.8589243045308,0.31826150958650823,16.48524672590123,0.04048379473124263,moderate,0.27,MODERATE,weak_protection,25
51.807058608713234,35.80188237100403,28.80447048985863,20.0,2.783333333333333,1868.4875580978935,0.36789706956433776,21.553834634565085,0.04098257414110073,moderate,0.27,MODERATE,weak_protection,26
52.195503406511165,33.303205043467415,27.74935422498929,20.0,2.416666666666667,1830.1100510862373,0.35397482967444227,15.292251328537517,0.04068477439737998,moderate,0.27,MODERATE,weak_protection,27
54.46289218260791,35.26761272517065,29.865252453889283,20.0,2.9166666666666665,1846.3293169764447,0.23310539086960458,20.211095490190377,0.04084127354527504,moderate,0.27,MODERATE,weak_protection,28
52.66480486009996,36.84420220714318,29.754503533621573,20.0,2.5,1901.4801393146822,0.329259756995002,24.171059529527103,0.04121108023338344,moderate,0.27,MODERATE,weak_protection,29
61.14548182913122,48.55403214811471,39.849756988622964,40.0,2.2666666666666666,1349.5802099684965,0.40872590854343915,33.22530994601959,0.036804591514656634,moderate,0.54,MODERATE,moderate_protection,0
62.62198436369257,54.13477181700655,43.37837809034956,40.0,2.75,1306.3454236324533,0.32765078181537133,47.15627179145822,0.03638684497883723,moderate,0.54,MODERATE,moderate_protection,1
64.46002232983679,51.14083573114229,42.80042903048954,40.0,2.325,1345.7284329410004,0.24212388350816072,39.6905152394684,0.03676851823225382,moderate,0.54,MODERATE,moderate_protection,2
61.45114056292703,56.73256742606422,44.09185399449562,40.0,2.2916666666666674,1305.7604055750994,0.3930679718536485,53.65065391180226,0.03638470693283448,moderate,0.54,MODERATE,moderate_protection,3
63.34636126015449,53.790051651459194,43.568206455806845,40.0,2.233333333333334,1348.065846761179,0.29918193699227547,46.31492089718067,0.036795835370654326,moderate,0.54,MODERATE,moderate_protection,4
61.03624716526344,52.66274478229851,41.849495973780975,40.0,2.2250000000000005,1357.3243457933702,0.41481264173682786,43.50093143682326,0.03688138962153968,moderate,0.54,MODERATE,moderate_protection,5
63.225139015124995,51.45634234091773,42.34074067802136,40.0,2.4916666666666667,1354.2295546539194,0.30136804924375027,40.48304092663787,0.03684370148687142,moderate,0.54,MODERATE,moderate_protection,6
61.6412851471434,52.27918674739031,41.96023594726685,40.0,2.591666666666667,1312.9236364932576,0.37906074264282985,42.520164056962855,0.03644394376974194,moderate,0.54,MODERATE,moderate_protection,7
62.43711274851219,51.18590184450938,41.81150729651078,40.0,2.700000000000001,1332.9890897023006,0.33764436257439034,39.798049598675064,0.0366658997480325,moderate,0.54,MODERATE,moderate_protection,8
61.105062336388826,50.509501821590234,40.80728207898953,40.0,2.1749999999999994,1329.6311063373998,0.41212188318055865,38.10493548640038,0.036623618648496024,moderate,0.54,MODERATE,moderate_protection,9
61.67845281368889,54.43226041393032,43.05535661380961,40.0,2.0500000000000003,1310.469251150336,0.3853273593155555,47.90190943459003,0.03642516799528498,moderate,0.54,MODERATE,moderate_protection,10
60.182590866073156,51.71738448805045,40.9499876770618,40.0,2.4166666666666674,1347.738439589426,0.4546204566963423,41.13275073758498,0.036785790349177026,moderate,0.54,MODERATE,moderate_protection,11
61.772904052153386,51.42987777908635,41.60139091561987,40.0,2.283333333333333,1338.5101688538944,0.3771047973923307,40.410155591674744,0.03670922287917811,moderate,0.54,MODERATE,moderate_protection,12
62.59618797147517,50.272000596296834,41.434094283886,40.0,2.4083333333333337,1373.589676527081,0.33406560142624175,37.5312540285206,0.03702505075557047,moderate,0.54,MODERATE,moderate_protection,13
60.13180910070352,52.804806805242436,41.46830795297298,40.0,2.1166666666666667,1264.8438351441084,0.46165954496482375,43.81042386410904,0.03596813702005921,moderate,0.54,MODERATE,moderate_protection,14
63.86296467007868,49.600976586979634,41.731970628529155,40.0,2.5583333333333336,1321.5757507588628,0.2684767664960661,35.828897514416205,0.03652912093934269,moderate,0.54,MODERATE,moderate_protection,15
60.35753182834234,50.705057882848116,40.53129485559523,40.0,2.2750000000000004,1344.2822268593343,0.44799840858288276,38.60056915357612,0.036758488929116845,moderate,0.54,MODERATE,moderate_protection,16
63.03234503854029,51.02133074906797,42.02683789380413,40.0,2.558333333333334,1317.9450019998098,0.3100077480729855,39.37795338053574,0.03649253015731683,moderate,0.54,MODERATE,moderate_protection,17
64.01757906846196,55.422075724590826,44.71982739652639,40.0,2.2750000000000004,1361.7554360261454,0.2649960465769019,50.40190862824127,0.03693438633528485,moderate,0.54,MODERATE,moderate_protection,18
60.54393762162851,54.512814978361,42.528376299994754,40.0,2.7583333333333333,1374.1823328884943,0.43142811891857447,48.13459334741764,0.037051118030303004,moderate,0.54,MODERATE,moderate_protection,19
61.95025977978092,51.711637522047624,41.83094865091427,40.0,2.366666666666667,1369.0485700646511,0.3669870110109539,41.12812944732203,0.036980712844059765,moderate,0.54,MODERATE,moderate_protection,20
63.548001311021025,53.77184434733088,43.659922829175954,40.0,2.4083333333333337,1380.4489840013684,0.286474934448949,46.284899259017024,0.03710576781379702,moderate,0.54,MODERATE,moderate_protection,21
61.891022963479024,53.93076755381392,42.91089525864648,40.0,2.5250000000000004,1327.3204910112336,0.36757385182604896,46.656263487585086,0.036586892061005995,moderate,0.54,MODERATE,moderate_protection,22
